method,seed,budget_k,n_features_used,val_f1,test_f1,test_accuracy,test_balanced_accuracy,overlap
all_features,,500,500,0.7442,0.7308,0.7308,0.7308,20
kbest_mutual_info,,1,1,0.5691,0.5595,0.5596,0.5596,1
kbest_mutual_info,,2,2,0.6054,0.5788,0.5788,0.5788,2
kbest_mutual_info,,3,3,0.6346,0.6942,0.6942,0.6942,3
kbest_mutual_info,,5,5,0.6498,0.6403,0.6404,0.6404,4
kbest_mutual_info,,8,8,0.6614,0.6653,0.6654,0.6654,4
kbest_mutual_info,,10,8,0.6614,0.6653,0.6654,0.6654,4
kbest_mutual_info,,12,8,0.6614,0.6653,0.6654,0.6654,4
kbest_mutual_info,,15,8,0.6614,0.6653,0.6654,0.6654,4
kbest_mutual_info,,20,8,0.6614,0.6653,0.6654,0.6654,4
kbest_mutual_info,,25,8,0.6614,0.6653,0.6654,0.6654,4
kbest_mutual_info,,30,8,0.6614,0.6653,0.6654,0.6654,4
kbest_mutual_info,,50,8,0.6614,0.6653,0.6654,0.6654,4
kbest_mutual_info,,100,8,0.6614,0.6653,0.6654,0.6654,4
kbest_mutual_info,,200,200,0.6864,0.7057,0.7058,0.7058,8
kbest_mutual_info,,500,500,0.7442,0.7308,0.7308,0.7308,20
kbest_anova_f,,1,1,0.5403,0.5472,0.5481,0.5481,1
kbest_anova_f,,2,2,0.5432,0.5088,0.5096,0.5096,2
kbest_anova_f,,3,3,0.5492,0.5326,0.5327,0.5327,2
kbest_anova_f,,5,5,0.6615,0.6519,0.6519,0.6519,4
kbest_anova_f,,8,8,0.7442,0.8056,0.8058,0.8058,7
kbest_anova_f,,10,10,0.7673,0.767,0.7673,0.7673,9
kbest_anova_f,,12,12,0.7711,0.7961,0.7962,0.7962,10
kbest_anova_f,,15,15,0.7846,0.7942,0.7942,0.7942,11
kbest_anova_f,,20,15,0.7846,0.7942,0.7942,0.7942,11
kbest_anova_f,,25,15,0.7846,0.7942,0.7942,0.7942,11
kbest_anova_f,,30,15,0.7846,0.7942,0.7942,0.7942,11
kbest_anova_f,,50,15,0.7846,0.7942,0.7942,0.7942,11
kbest_anova_f,,100,15,0.7846,0.7942,0.7942,0.7942,11
kbest_anova_f,,200,15,0.7846,0.7942,0.7942,0.7942,11
kbest_anova_f,,500,15,0.7846,0.7942,0.7942,0.7942,11
tree_importance,,1,1,0.5634,0.5114,0.5173,0.5173,1
