method,seed,budget_k,n_features_used,val_f1,test_f1,test_accuracy,test_balanced_accuracy
mrmr,,1,1,0.5691,0.5595,0.5596,0.5596
mrmr,,2,1,0.5691,0.5595,0.5596,0.5596
mrmr,,3,1,0.5691,0.5595,0.5596,0.5596
mrmr,,5,1,0.5691,0.5595,0.5596,0.5596
mrmr,,8,1,0.5691,0.5595,0.5596,0.5596
mrmr,,10,10,0.5765,0.5211,0.5212,0.5212
mrmr,,12,10,0.5765,0.5211,0.5212,0.5212
mrmr,,15,10,0.5765,0.5211,0.5212,0.5212
mrmr,,20,10,0.5765,0.5211,0.5212,0.5212
mrmr,,25,25,0.5807,0.5331,0.5346,0.5346
mrmr,,30,25,0.5807,0.5331,0.5346,0.5346
relieff,,1,1,0.5437,0.532,0.5365,0.5365
relieff,,2,2,0.6054,0.5788,0.5788,0.5788
relieff,,3,2,0.6054,0.5788,0.5788,0.5788
relieff,,5,5,0.6672,0.6615,0.6615,0.6615
relieff,,8,8,0.7096,0.7384,0.7385,0.7385
relieff,,10,8,0.7096,0.7384,0.7385,0.7385
relieff,,12,8,0.7096,0.7384,0.7385,0.7385
relieff,,15,8,0.7096,0.7384,0.7385,0.7385
relieff,,20,8,0.7096,0.7384,0.7385,0.7385
relieff,,25,8,0.7096,0.7384,0.7385,0.7385
relieff,,30,30,0.7327,0.7154,0.7154,0.7154
boruta,,1,1,0.5403,0.5472,0.5481,0.5481
boruta,,2,2,0.5788,0.5787,0.5788,0.5788
boruta,,3,3,0.6346,0.673,0.6731,0.6731
boruta,,5,5,0.7692,0.7423,0.7423,0.7423
boruta,,8,5,0.7692,0.7423,0.7423,0.7423
boruta,,10,10,0.7844,0.7981,0.7981,0.7981
boruta,,12,12,0.8153,0.8231,0.8231,0.8231
boruta,,15,12,0.8153,0.8231,0.8231,0.8231
boruta,,20,12,0.8153,0.8231,0.8231,0.8231
boruta,,25,12,0.8153,0.8231,0.8231,0.8231
boruta,,30,12,0.8153,0.8231,0.8231,0.8231
hsic_lasso,,1,1,0.5691,0.5595,0.5596,0.5596
hsic_lasso,,2,2,0.6054,0.5788,0.5788,0.5788
hsic_lasso,,3,3,0.6558,0.6672,0.6673,0.6673
hsic_lasso,,5,3,0.6558,0.6672,0.6673,0.6673
hsic_lasso,,8,3,0.6558,0.6672,0.6673,0.6673
hsic_lasso,,10,3,0.6558,0.6672,0.6673,0.6673
hsic_lasso,,12,12,0.6738,0.6634,0.6635,0.6635
hsic_lasso,,15,12,0.6738,0.6634,0.6635,0.6635
hsic_lasso,,20,12,0.6738,0.6634,0.6635,0.6635
hsic_lasso,,25,12,0.6738,0.6634,0.6635,0.6635
hsic_lasso,,30,12,0.6738,0.6634,0.6635,0.6635
fastener,2020,1,1,0.5692,0.5351,0.5365,0.5365
fastener,2020,2,1,0.5692,0.5351,0.5365,0.5365
fastener,2020,3,3,0.6615,0.6516,0.6519,0.6519
fastener,2020,5,4,0.725,0.7231,0.7231,0.7231
fastener,2020,8,4,0.725,0.7231,0.7231,0.7231
fastener,2020,10,4,0.725,0.7231,0.7231,0.7231
fastener,2020,12,4,0.725,0.7231,0.7231,0.7231
fastener,2020,15,4,0.725,0.7231,0.7231,0.7231
fastener,2020,20,4,0.725,0.7231,0.7231,0.7231
fastener,2020,25,4,0.725,0.7231,0.7231,0.7231
fastener,2020,30,4,0.725,0.7231,0.7231,0.7231
fastener,2021,1,1,0.5306,0.4883,0.4923,0.4923
fastener,2021,2,1,0.5306,0.4883,0.4923,0.4923
fastener,2021,3,3,0.5615,0.5058,0.5058,0.5058
fastener,2021,5,4,0.5692,0.4997,0.5,0.5
fastener,2021,8,8,0.5806,0.4918,0.4923,0.4923
fastener,2021,10,10,0.6134,0.5757,0.5769,0.5769
fastener,2021,12,11,0.6266,0.5479,0.5481,0.5481
fastener,2021,15,11,0.6266,0.5479,0.5481,0.5481
fastener,2021,20,11,0.6266,0.5479,0.5481,0.5481
fastener,2021,25,11,0.6266,0.5479,0.5481,0.5481
fastener,2021,30,11,0.6266,0.5479,0.5481,0.5481
