method,seed,budget_k,n_features_used,val_f1,test_f1,test_accuracy,test_balanced_accuracy
mrmr,,1,1,0.5691,0.5595,0.5596,0.5596
mrmr,,2,1,0.5691,0.5595,0.5596,0.5596
mrmr,,3,1,0.5691,0.5595,0.5596,0.5596
mrmr,,5,1,0.5691,0.5595,0.5596,0.5596
mrmr,,8,1,0.5691,0.5595,0.5596,0.5596
mrmr,,10,10,0.5765,0.5211,0.5212,0.5212
mrmr,,12,10,0.5765,0.5211,0.5212,0.5212
mrmr,,15,10,0.5765,0.5211,0.5212,0.5212
mrmr,,20,10,0.5765,0.5211,0.5212,0.5212
mrmr,,25,25,0.5807,0.5331,0.5346,0.5346
mrmr,,30,25,0.5807,0.5331,0.5346,0.5346
mrmr,,50,25,0.5807,0.5331,0.5346,0.5346
mrmr,,100,100,0.611,0.619,0.6192,0.6192
mrmr,,200,200,0.6518,0.6654,0.6654,0.6654
mrmr,,500,500,0.7442,0.7308,0.7308,0.7308
relieff,,1,1,0.5437,0.532,0.5365,0.5365
relieff,,2,2,0.6054,0.5788,0.5788,0.5788
relieff,,3,2,0.6054,0.5788,0.5788,0.5788
relieff,,5,5,0.6672,0.6615,0.6615,0.6615
relieff,,8,8,0.7096,0.7384,0.7385,0.7385
relieff,,10,8,0.7096,0.7384,0.7385,0.7385
relieff,,12,8,0.7096,0.7384,0.7385,0.7385
relieff,,15,8,0.7096,0.7384,0.7385,0.7385
relieff,,20,8,0.7096,0.7384,0.7385,0.7385
relieff,,25,8,0.7096,0.7384,0.7385,0.7385
relieff,,30,30,0.7327,0.7154,0.7154,0.7154
relieff,,50,30,0.7327,0.7154,0.7154,0.7154
relieff,,100,30,0.7327,0.7154,0.7154,0.7154
relieff,,200,30,0.7327,0.7154,0.7154,0.7154
relieff,,500,500,0.7442,0.7308,0.7308,0.7308
boruta,,1,1,0.5091,0.509,0.5096,0.5096
boruta,,2,1,0.5091,0.509,0.5096,0.5096
boruta,,3,3,0.6095,0.6172,0.6173,0.6173
boruta,,5,5,0.6692,0.6723,0.6731,0.6731
boruta,,8,8,0.7942,0.7865,0.7865,0.7865
boruta,,10,10,0.8288,0.8268,0.8269,0.8269
boruta,,12,10,0.8288,0.8268,0.8269,0.8269
boruta,,15,15,0.8305,0.8385,0.8385,0.8385
boruta,,20,15,0.8305,0.8385,0.8385,0.8385
boruta,,25,15,0.8305,0.8385,0.8385,0.8385
boruta,,30,15,0.8305,0.8385,0.8385,0.8385
boruta,,50,15,0.8305,0.8385,0.8385,0.8385
boruta,,100,15,0.8305,0.8385,0.8385,0.8385
boruta,,200,15,0.8305,0.8385,0.8385,0.8385
boruta,,500,15,0.8305,0.8385,0.8385,0.8385
hsic_lasso,,1,1,0.5691,0.5595,0.5596,0.5596
hsic_lasso,,2,2,0.6054,0.5788,0.5788,0.5788
hsic_lasso,,3,2,0.6054,0.5788,0.5788,0.5788
hsic_lasso,,5,2,0.6054,0.5788,0.5788,0.5788
hsic_lasso,,8,8,0.6653,0.6499,0.65,0.65
hsic_lasso,,10,10,0.6903,0.6596,0.6596,0.6596
hsic_lasso,,12,10,0.6903,0.6596,0.6596,0.6596
hsic_lasso,,15,10,0.6903,0.6596,0.6596,0.6596
hsic_lasso,,20,10,0.6903,0.6596,0.6596,0.6596
hsic_lasso,,25,10,0.6903,0.6596,0.6596,0.6596
hsic_lasso,,30,10,0.6903,0.6596,0.6596,0.6596
hsic_lasso,,50,10,0.6903,0.6596,0.6596,0.6596
hsic_lasso,,100,10,0.6903,0.6596,0.6596,0.6596
hsic_lasso,,200,10,0.6903,0.6596,0.6596,0.6596
hsic_lasso,,500,10,0.6903,0.6596,0.6596,0.6596
