method,seed,budget_k,n_features_used,val_f1,test_f1
all_features,,500,500,0.7442,0.7308
kbest_mutual_info,,1,1,0.5691,0.5595
kbest_mutual_info,,2,2,0.6054,0.5788
kbest_mutual_info,,3,3,0.6346,0.6942
kbest_mutual_info,,5,5,0.6498,0.6403
kbest_mutual_info,,8,8,0.6614,0.6653
kbest_mutual_info,,10,8,0.6614,0.6653
kbest_mutual_info,,12,8,0.6614,0.6653
kbest_mutual_info,,15,8,0.6614,0.6653
kbest_mutual_info,,20,8,0.6614,0.6653
kbest_mutual_info,,25,8,0.6614,0.6653
kbest_mutual_info,,30,8,0.6614,0.6653
kbest_mutual_info,,50,8,0.6614,0.6653
kbest_mutual_info,,100,8,0.6614,0.6653
kbest_mutual_info,,200,200,0.6864,0.7057
kbest_mutual_info,,500,500,0.7442,0.7308
kbest_anova_f,,1,1,0.5403,0.5472
kbest_anova_f,,2,2,0.5432,0.5088
kbest_anova_f,,3,3,0.5492,0.5326
kbest_anova_f,,5,5,0.6615,0.6519
kbest_anova_f,,8,8,0.7442,0.8056
kbest_anova_f,,10,10,0.7673,0.767
kbest_anova_f,,12,12,0.7711,0.7961
kbest_anova_f,,15,15,0.7846,0.7942
kbest_anova_f,,20,15,0.7846,0.7942
kbest_anova_f,,25,15,0.7846,0.7942
kbest_anova_f,,30,15,0.7846,0.7942
kbest_anova_f,,50,15,0.7846,0.7942
kbest_anova_f,,100,15,0.7846,0.7942
kbest_anova_f,,200,15,0.7846,0.7942
kbest_anova_f,,500,15,0.7846,0.7942
tree_importance,,1,1,0.5634,0.5114
tree_importance,,2,2,0.5922,0.5498
tree_importance,,3,3,0.65,0.6402
tree_importance,,5,5,0.7462,0.7981
tree_importance,,8,8,0.8056,0.8057
tree_importance,,10,10,0.8228,0.8058
tree_importance,,12,10,0.8228,0.8058
tree_importance,,15,10,0.8228,0.8058
tree_importance,,20,10,0.8228,0.8058
tree_importance,,25,10,0.8228,0.8058
tree_importance,,30,10,0.8228,0.8058
tree_importance,,50,10,0.8228,0.8058
tree_importance,,100,10,0.8228,0.8058
tree_importance,,200,10,0.8228,0.8058
tree_importance,,500,10,0.8228,0.8058
rfe_tree,,1,1,0.5634,0.5114
rfe_tree,,2,1,0.5634,0.5114
rfe_tree,,3,3,0.6268,0.6481
rfe_tree,,5,5,0.7596,0.7615
rfe_tree,,8,8,0.821,0.8056
rfe_tree,,10,8,0.821,0.8056
rfe_tree,,12,8,0.821,0.8056
rfe_tree,,15,8,0.821,0.8056
